REFCODE;Formula;SymMol;Cryst_spgr;Spgr_N;C_x;C_y;C_z;Mol_R;Mol_V;Cell_a
WAVCIF;C48 H108 O4 Si4 Ta2;-4;I -4 3 d;220;0.25;0.375;0;7.79671;1985.22;28.125
TODDEY;C69 H72 Mn11 N9 O43;3;I -4 3 d;220;0.493826;0.506174;0.00617397;10.0774;4286.73;35.533
TODDEY;C3 H7 N1 O1;1;I -4 3 d;220;0.576258;0.299317;-0.0460333;2.52417;67.365;35.533
TODDEY;H2 O1;m m 2;I -4 3 d;220;0.4647;0.288967;0.1454;0.722102;1.57715;35.533
TODDEY;H2 O1;m m 2;I -4 3 d;220;0.393233;0.320967;0.1455;0.73707;1.67726;35.533
ZIPMAM;C30 H64 N6 Se8 W6;-4;I -4 3 d;220;0.25;0.375;0;7.85065;2026.71;31.15
ZIPMAM;C5 H11 N1;1;I -4 3 d;220;0.901506;0.0438706;0.369153;2.43633;60.5741;31.15
ZIPMAM;C5 H11 N1;1;I -4 3 d;220;0.200853;0.0311882;0.0932824;2.42046;59.3975;31.15
VALHAT;C108 H148 K4 N16 O21 Zn4;-4;I -4 3 d;220;0.75;0.625;0;9.93991;4113.6;33.049
YUYWOF;C108 Cu4 H148 K4 N16 O21;-4;I -4 3 d;220;0.5;0.75;0.875;9.9941;4181.26;32.9427
