REFCODE;Formula;SymMol;Cryst_spgr;Spgr_N;C_x;C_y;C_z;Mol_R;Mol_V;Cell_a
RUTREF;C1 Cl3 D1;3 m;P 21 3;198;0.303998;0.303998;0.303998;1.72065;21.3378;13.9483
ROGMAE01;C9 H9 O8 U1;3;P 21 3;198;0.202715;-0.702715;-0.297285;6.07377;938.536;11.5861
SAFCOV;C12 H30 I1 N4 Zn1;3;P 21 3;198;0.263257;0.263257;0.263257;4.09694;288.041;12.567
RONDAZ;C9 H28 N1 Sn3;3;P 21 3;198;0.359295;0.640715;0.140715;4.22313;315.485;15.587
SIFXIQ;Br1 C12 H30 Mg1 N4;3;P 21 3;198;0.48557;0.48557;0.48557;4.11939;292.802;12.193
RONDAZ;C9 H28 N1 Sn3;3;P 21 3;198;0.637328;0.362672;-0.137328;4.21026;312.609;15.587
TANYEM;C3 Fe1 N1 O4;3 m;P 21 3;198;0.543829;0.543829;0.543829;3.08473;122.949;8.853
SEWBUS;C23 H30 N6 Zn1;3;P 21 3;198;0.682857;0.317143;0.817143;5.87915;851.174;13.9397
SEWBUS;Cl1 O4;3 m;P 21 3;198;0.919412;0.919412;0.919412;1.37497;10.8882;13.9397
SEWBUS;Cl1 O4;-4 3 m;P 21 3;198;0.413638;0.086362;0.913638;1.43808;12.4574;13.9397
TAVVOE;C19 Co1 H39 N2 S4;3;P 21 3;198;0.692617;0.192617;0.307383;5.59636;734.164;14.1508
TAVVOE;Cl1 O4;-4 3 m;P 21 3;198;0.842034;0.657966;0.342034;1.44164;12.55;14.1508
TIXGOY;C18 H38 N2 O6;3;P 21 3;198;0.250591;0.249409;0.750591;4.74473;447.414;16.3228
TIXGOY;C6 H18 I4 O6 Zn4;3;P 21 3;198;0.180608;0.180608;0.180608;4.8825;487.532;16.3228
SOJDUQ;C24 Cu3 H54 N12 O1;3;P 21 3;198;-0.135531;-0.135531;-0.135531;5.43526;672.57;20.443
TORMUK;C45 H48 N6 Ni1 O3;3;P 21 3;198;0.113385;0.613385;0.886615;8.41766;2498.33;17.5584
TORMUK;Cl1 O4;3 m;P 21 3;198;0.261262;0.738738;0.238738;1.3855;11.1402;17.5584
TORMUK;Cl1 O4;3 m;P 21 3;198;0.78563;0.71437;0.28563;1.35988;10.5335;17.5584
TORMUK;C2 H3 N1;3 m;P 21 3;198;0.977817;0.368617;0.226533;2.012;34.1159;17.5584
TRIAEH01;C6 H21 N4;3;P 21 3;198;-0.232326;-0.232326;-0.232326;3.39466;163.857;10.87
TRIAEH02;C6 H21 N4;3;P 21 3;198;-0.483961;-0.0160394;0.0160394;3.53514;185.053;10.875
SOJDUQ;C24 Cu3 H54 N12 O1;3;P 21 3;198;0.133976;0.133976;0.133976;5.46494;683.648;20.443
SOJDUQ;Cl1 O4;-4 3 m;P 21 3;198;0.313218;0.313218;0.313218;1.37675;10.9304;20.443
TRIAEH03;C6 H21 N4;3;P 21 3;198;0.985235;0.485235;0.0147645;3.47825;176.261;10.882
SOJDUQ;Cl1 O4;-4 3 m;P 21 3;198;0.5095;0.5095;0.5095;1.40808;11.6939;20.443
SOJDUQ;Cl1 O4;-4 3 m;P 21 3;198;-0.43452;-0.246928;-0.16018;1.3872;11.1813;20.443
SOJDUQ;Cl1 O4;-4 3 m;P 21 3;198;-0.094772;-0.080108;0.17659;1.40768;11.6839;20.443
UROVIH;C12 Cl1 Cu1 H30 N4;3;P 21 3;198;0.515446;0.484554;0.984554;4.06154;280.638;11.8548
VADFOV;C16 N3;3;P 21 3;198;0.541342;-0.458658;0.541342;6.14454;971.725;12.886
VADFOV;Cl1 O4;-4 3 m;P 21 3;198;0.618002;0.118002;0.381998;1.45253;12.8366;12.886
VADFOV;Cl1 O4;-4 3 m;P 21 3;198;0.209028;0.209028;0.209028;1.44115;12.5374;12.886
TUJNAO;C30 Co1 H24 N6;3;P 21 3;198;0.289922;0.789922;0.710078;5.61534;741.658;15.7754
VATKIL01;C6 H21 N4;3;P 21 3;198;0.492768;0.492768;0.492768;3.4833;177.03;11.089
TIJDEW;C39 H51 N6;3;P 21 3;198;0.539673;0.539673;0.539673;5.95667;885.291;16.6032
TIJDEW;Cl4 Fe1;-4 3 m;P 21 3;198;0.051998;0.448002;0.551998;2.20731;45.0472;16.6032
TIJDEW;Cl4 Fe1;3 m;P 21 3;198;0.253362;0.253362;0.253362;2.23987;47.0701;16.6032
VOBXEP;C6 H21 N4;3;P 21 3;198;-0.246459;-0.246459;-0.246459;3.54117;186.001;11.858
VOBXEP;Cl1 O4;-4 3 m;P 21 3;198;0.043654;0.043654;0.043654;1.42855;12.2112;11.858
VOBXEP;Cl1 O4;-4 3 m;P 21 3;198;0.562972;0.562972;0.562972;1.43517;12.3818;11.858
VOBXEP;Cl1 O4;-4 3 m;P 21 3;198;0.27723;0.27723;0.27723;1.43115;12.2782;11.858
VOBXEP01;C6 H21 N4;3;P 21 3;198;0.00256774;-0.00256774;-0.502568;3.57096;190.735;11.884
VOBXEP01;Cl1 O4;-4 3 m;P 21 3;198;0.293972;0.706028;0.206028;1.42382;12.0903;11.884
VOBXEP01;Cl1 O4;-4 3 m;P 21 3;198;0.687328;0.812672;0.187328;1.43924;12.4876;11.884
VOBXEP01;Cl1 O4;-4 3 m;P 21 3;198;0.027828;0.027828;0.027828;1.43328;12.3331;11.884
VUYDEZ;C6 H21 N3 Ni1 O3;3;P 21 3;198;1.00638;0.506382;0.993618;3.25075;143.889;11.3
VUYDEZ;N1 O3;-6 m 2;P 21 3;198;0.946525;0.946525;0.946525;1.24817;8.14507;11.3
VETQER;C48 H36 N2 S6;3;P 21 3;198;0.742673;0.242673;0.257327;8.97987;3033.1;16.006
WILZIA01;Au1 C24 H54 P2;3;P 21 3;198;0.985694;0.0143057;0.514306;5.47734;688.313;14.3319
WOKSUM;C12 H15 O8 U1;3;P 21 3;198;0.560558;0.0605581;-0.560558;7.11388;1507.98;12.4521
TUJNAO;O19 W6;m -3 m;P 21 3;198;0.785874;0.785874;0.785874;4.02589;273.315;15.7754
WILZIA;Au1 C24 H54 P2;3;P 21 3;198;0.234383;0.734383;0.765617;5.47341;686.83;14.297
XICREH;B1 C7 H16 N1;3;P 21 3;198;0.742631;0.242631;0.257369;2.99341;112.35;9.2919
XOLVEC;Bi2 Br9;3;P 21 3;198;0.973638;-0.0263618;0.973638;4.16578;302.806;14.5215
XEWHUE;C54 Fe1 H48 N6;3;P 21 3;198;0.887118;0.612882;0.387118;7.38011;1683.7;17.37
XEWHUE;Cl1 O4;-4 3 m;P 21 3;198;0.066512;0.433488;0.566512;1.42823;12.2031;17.37
XEWQIA;C10 Cu1 H21 N3 O1;3;P 21 3;198;0.731358;0.268642;0.768642;4.18874;307.841;11.3362
XEWHUE;Cl1 O4;-4 3 m;P 21 3;198;0.948672;0.448672;0.051328;1.41096;11.7659;17.37
XEWHUE;C2 H3 N1;3 m;P 21 3;198;0.905917;0.0940833;0.594083;2.06438;36.8507;17.37
XEWQIA;Cl1 O4;-4 3 m;P 21 3;198;0.719358;0.219358;0.280642;1.41689;11.9148;11.3362
XOLVEC;C3 H9 S1;3 m;P 21 3;198;0.249979;0.249979;0.249979;2.2577;48.2032;14.5215
XOLVEC;C3 H9 S1;3 m;P 21 3;198;1.02372;0.523722;0.976278;2.25106;47.779;14.5215
XUNHIY;As2 C36 H30 S6;3;P 21 3;198;0.0409934;-0.0409934;1.45901;6.14218;970.607;16.3746
XUNHIY;C1 Cl3 H1;3 m;P 21 3;198;0.5301;0.0301;1.4699;1.72813;21.6173;16.3746
XUNHIY;C1 Cl3 H1;3 m;P 21 3;198;0.78687;0.78687;0.78687;1.70457;20.7455;16.3746
XOLVEC;C3 H9 S1;3 m;P 21 3;198;0.795685;0.295685;0.204315;2.23874;46.999;14.5215
XUGSOJ;C51 Fe1 H51 N9;3;P 21 3;198;0.62549;0.37451;0.87451;8.01488;2156.59;17.3767
XUGSOJ;Cl1 O4;-4 3 m;P 21 3;198;0.79857;0.20143;0.70143;1.39862;11.4598;17.3767
XUGSOJ;Cl1 O4;-4 3 m;P 21 3;198;0.266486;0.233514;0.766486;1.44509;12.6405;17.3767
YIWKUL;Br1 C18 Cu1 H18 N4;3;P 21 3;198;0.1128;0.3872;0.6128;5.58977;731.572;12.6335
YAPNIM;C24 Co1 H27 N7 O3;3;P 21 3;198;0.362413;0.362413;0.362413;6.09431;948.09;15.069
YOQGAO;C6 H21 N3 Ni1 O3;3;P 21 3;198;0.751328;0.751328;0.751328;3.42317;168.02;11.4822
YOQGAO;N1 O3;-6 m 2;P 21 3;198;0.683975;0.316025;0.816025;1.23291;7.84992;11.4822
YOQGAO;N1 O3;-6 m 2;P 21 3;198;0.4921;0.5079;1.0079;1.18562;6.98086;11.4822
YOSRAZ;C6 H8 O6;1;P 21 3;198;0.251722;0.149342;0.502273;2.93255;105.636;12.817
YAPNIM;F6 P1;m -3 m;P 21 3;198;0.599171;0.599171;0.599171;1.56214;15.9675;15.069
ZEZYEI;Be1 C15 Cl1 H24 N6;3;P 21 3;198;0.0118666;0.488134;0.511866;4.8117;466.63;15.707
YAPNIM;F6 P1;m -3 m;P 21 3;198;0.0552;0.0552;0.0552;1.57133;16.251;15.069
YAPNIM;C2 N1;1;P 21 3;198;-0.1458;-0.1458;-0.1458;1.37809;10.9626;15.069
ZEZYEI;Be1 C15 Cl1 H24 N6;3;P 21 3;198;-0.00597298;0.494027;0.00597298;4.89462;491.17;15.707
ZIDYET;C6 H14 N2;3 2;P 21 3;198;-0.257748;1.24225;0.257748;2.37523;56.1295;14.2859
ZIDYET;C6 H14 N2;3 2;P 21 3;198;0.256215;0.756215;0.743785;2.37;55.7601;14.2859
ZIDYET;H3 O1;3 m;P 21 3;198;0.003625;1.00362;0.003625;0.75258;1.78539;14.2859
ZIDYET;H3 O1;3 m;P 21 3;198;-0.00277;1.00277;0.50277;0.707041;1.4805;14.2859
ZUQGUP;C30 H39 N4 O3 P1;3;P 21 3;198;0.730077;0.769923;0.230077;7.35438;1666.15;18.1117
ZIDYET;Cl1 O4;-4 3 m;P 21 3;198;0.002628;0.985696;0.241116;1.4419;12.5568;14.2859
ZIDYET;Cl1 O4;-4 3 m;P 21 3;198;0.000798;1.01531;0.74433;1.44325;12.5922;14.2859
YICTUA;C40 Cl3 H66 N6 Ni2 O6;3;P 21 3;198;-0.029398;-0.029398;-0.029398;6.8428;1342.08;17.863
YICTUA;C2 H6 O1;1;P 21 3;198;0.555989;-0.16289;-0.0707;2.20568;44.9471;17.863
ZZZWKI01;C9 H15 O8 U1;3;P 21 3;198;0.695554;0.195554;0.304446;6.03338;919.936;11.4329
ZZZWJS01;C6 Np1 O8;3 m;P 21 3;198;0.181383;0.181383;0.181383;4.34335;343.202;10.638
ZUQGUP;C30 H39 N4 O3 P1;3;P 21 3;198;0.971106;-0.0288944;-0.0288944;7.28177;1617.29;18.1117
ZZZWKM13;C9 H15 O8 U1;3;P 21 3;198;0.549081;0.450919;-0.0490812;6.12328;961.677;11.605
ZZZWKM13;H4 N1;-4 3 m;P 21 3;198;0.85002;0.35002;0.14998;0.988073;4.04057;11.605
OYEBOK;C116 Cu8 H102 N4 P4 S6;3;P 21 3;198;0.639982;0.639982;0.639982;9.04024;3094.68;25.6177
OYEBOK;C2 H3 N1;3 m;P 21 3;198;0.663683;0.916017;0.8886;2.14999;41.6281;25.6177
