,Unnamed: 0,REFCODE,Formula,SymMol,Cryst_spgr,Spgr_N,C_x,C_y,C_z,Mol_R,Mol_V,Cell_a,CCDC_ID
100,1,SECJUI,B12 F12,1,F m -3 c,226,0.5,0.5,0.5,3.08397,122.859,14.4176,827998
101,0,DOPSIK,C20,1,F m -3,202,0.0,0.0,0.0,2.1589,42.1478,10.61,182728
102,1,FUYZOO01,B12 H12,1,F m -3,202,0.0,0.0,0.0,2.77077,89.0996,10.629,287406
103,2,JINVAE,B12 H12,1,F m -3,202,0.0,0.0,0.0,2.84547,96.5028,10.8781,439284
104,3,GALGUV01,B12 H12,1,F m -3,202,0.0,0.0,0.0,2.72219,84.4952,10.8674,292196
105,4,POPMIT,C8 Cu1 H14 Mo6 O24,m m m,F m -3,202,0.0,0.25,0.25,4.61832,412.599,28.7381,715290
106,5,POPMUF,C8 H14 Mo6 Ni1 O24,-3 m,F m -3,202,0.25,0.0,0.25,4.56761,399.156,28.8174,715300
107,6,DOPSIK01,C20 H20,1,F m -3,202,-1e-05,-5e-06,5e-06,3.19239,136.278,10.6444,182729
108,0,GIGROD,B6 H6,m -3 m,F m 3 m,225,0.0,0.0,0.0,2.32883,52.9044,9.564,308090
109,1,GIGRIX,B6 H6,m -3 m,F m 3 m,225,0.0,0.0,0.0,2.27339,49.2151,8.839,308087
110,2,GOLSIM01,C4 H12 N1,-4 3 m,F m -3 m,225,0.25,0.25,0.25,2.00277,33.6487,12.992,319378
111,3,KIBCOQ,I6 Te1,m -3 m,F m -3 m,225,0.0,0.0,0.0,2.94076,106.525,12.307,476553
112,4,CAQQUG,Mo6 O19,m -3 m,F m 3 m,225,0.0,0.5,0.5,3.95656,259.435,13.8148,101686
113,5,GOLSIM01,Cl6 Zr1,m -3 m,F m -3 m,225,0.5,0.0,0.0,2.45107,61.6799,12.992,319378
114,6,MATEBR01,Br6 Te1,m -3 m,F m -3 m,225,0.5,0.0,0.0,2.71212,83.5609,11.445,553959
115,7,MATEHI01,I6 Te1,m -3 m,F m -3 m,225,0.0,0.0,0.0,2.94828,107.345,12.0,553965
116,8,GOLSUY,C4 H12 N1,-4 3 m,F m -3 m,225,0.25,0.25,0.25,1.94935,31.0275,12.9926,319387
117,9,MIPYOB,I6 Sn1,m -3 m,F m -3 m,225,0.0,0.0,0.0,2.85295,97.2652,11.6276,570761
118,10,CAQQUG,C4 H12 N1,-4 3 m,F m 3 m,225,0.25,0.75,0.25,2.00306,33.6634,13.8148,101686
119,11,GOLSUY,Cl6 Hf1,m -3 m,F m -3 m,225,0.0,0.0,0.0,2.44261,61.0432,12.9926,319387
120,12,MACSNA05,C4 H12 N1,-4 3 m,F m -3 m,225,0.25,0.25,0.25,1.97644,32.339,12.9777,547360
121,13,PEFBUY,Cl14 Mo6,m -3 m,F m -3 m,225,0.5,0.0,0.0,4.24946,321.422,18.38,692454
122,14,MACSNA05,Cl6 Sn1,m -3 m,F m -3 m,225,0.0,0.0,0.0,2.41502,58.9981,12.9777,547360
123,15,OMOHIH,Cl18 Ta6,m -3 m,F m -3 m,225,0.5,0.0,0.5,4.60579,409.248,18.1781,662642
124,16,PEFBUY,C1 H6 N3,-6 m 2,F m -3 m,225,0.16028,0.16028,0.16028,1.89052,28.3019,18.38,692454
125,17,QINBAT,H4 N1,-4 3 m,F m -3 m,225,0.75,0.75,0.75,0.85563,2.62382,9.76281,750712
126,18,PESPIO01,C4 H12 N1,-4 3 m,F m -3 m,225,0.25,0.25,0.25,2.02817,34.9452,11.669,697722
127,19,OMOHIH,C4 N1,-4 3 m,F m -3 m,225,0.63264,0.13264,0.86736,1.41016,11.7458,18.1781,662642
128,20,QALVAE,B6 H6,m -3 m,F m -3 m,225,0.5,0.5,0.5,2.42867,60.0039,9.10295,734176
129,21,QALVAE,H4 N1,-4 3 m,F m -3 m,225,0.25,0.25,0.25,1.01853,4.4259,9.10295,734176
130,22,PESPIO01,F6 Zr1,m -3 m,F m -3 m,225,0.5,0.0,0.0,1.97439,32.2387,11.669,697722
131,23,QINBAT,Cl6 Ru1,m -3 m,F m -3 m,225,0.5,0.5,0.5,2.32658,52.7506,9.76281,750712
132,24,TMAMPC,C4 N1,-4 3 m,F m 3 m,225,0.25,0.25,0.25,1.48494,13.7151,12.72,892748
133,25,TMAMPC,Cl6 Pt1,m -3 m,F m 3 m,225,0.0,0.0,0.0,2.29342,50.5271,12.72,892748
134,26,SAJHES07,C4 H12 N1,-4 3 m,F m -3 m,225,0.25,0.25,0.25,2.02502,34.7829,11.4895,820398
135,27,SAJHES08,C4 H12 N1,-4 3 m,F m -3 m,225,0.25,0.25,0.25,2.02367,34.7132,11.5092,820399
136,28,SAJHES07,F6 Ti1,m -3 m,F m -3 m,225,0.0,0.0,0.0,1.82913,25.6335,11.4895,820398
137,29,SAJHES09,C4 H12 N1,-4 3 m,F m -3 m,225,0.25,0.25,0.25,2.02519,34.7914,11.527,820400
138,30,SAJHES08,F6 Ti1,m -3 m,F m -3 m,225,0.0,0.0,0.0,1.82996,25.6686,11.5092,820399
139,31,SAJHES09,F6 Ti1,m -3 m,F m -3 m,225,0.0,0.0,0.0,1.83164,25.7393,11.527,820400
140,32,XINNIU,H4 N1,-4 3 m,F m -3 m,225,0.25,0.25,0.25,0.855645,2.62396,8.373,1059848
141,33,TMAMPC05,C4 H12 N1,-4 3 m,F m -3 m,225,0.25,0.25,0.25,2.01814,34.4294,12.8278,892753
142,34,TMAMPC05,Cl6 Pt1,m -3 m,F m -3 m,225,0.5,0.0,0.0,2.30387,51.2214,12.8278,892753
143,35,XINNIU,F6 Si1,m -3 m,F m -3 m,225,0.0,0.0,0.0,1.68716,20.1161,8.373,1059848
144,36,ZZZWNI04,C4 N1,-4 3 m,F m -3 m,225,0.75,0.75,0.75,1.36138,10.5684,12.864,1161870
145,37,ZZZWNI04,Cl6 Pu1,m -3 m,F m -3 m,225,1.0,1.0,0.0,2.56637,70.7999,12.864,1161870
146,38,TOFZUM,C4 H12 N1,-4 3 m,F m -3 m,225,0.25,0.25,0.25,1.93139,30.1776,13.1272,894665
147,39,TOGBEZ,C4 H12 N1,-4 3 m,F m -3 m,225,0.25,0.25,0.25,1.93196,30.2044,13.1147,894670
148,40,TOFZUM,Cl6 U1,m -3 m,F m -3 m,225,0.0,0.0,0.0,2.61494,74.8963,13.1272,894665
149,41,TOGBEZ,Cl6 Np1,m -3 m,F m -3 m,225,0.0,0.0,0.0,2.59474,73.1744,13.1147,894670
150,42,ZZZWNI01,C4 H12 N1,-4 3 m,F m -3 m,225,0.25,0.25,0.25,1.95751,31.4186,13.0879,1161867
151,43,ZZZWNI01,Cl6 Pu1,m -3 m,F m -3 m,225,0.0,0.0,0.0,2.57701,71.6841,13.0879,1161867
152,0,ESOTAI,Au1 C2 F3 O1,3 m,I 21 3,199,0.852283,0.352283,0.147717,3.74317,219.682,9.6817,227730
153,1,HEDGAY,C4 H9 I3 P1,3,I 21 3,199,0.201384,0.298616,0.701384,3.37524,161.061,13.613,342936
154,2,POPPOA,C14 H30 N2,2,I 21 3,199,0.25,0.404172,0.0,5.67985,767.516,17.9117,715334
155,3,YOBDIF,C24 Cl1 H39 N6 Ni1 P1,3,I 21 3,199,0.715379,0.715379,0.715379,6.14222,970.626,18.6158,1108685
156,4,YOBDIF,C1 F3 O3 S1,3,I 21 3,199,0.503434,0.496566,0.996566,1.91433,29.3852,18.6158,1108685
157,5,CIYJUQ,C36 Fe7 H72 N6 O18,-3,I 21 3,199,0.250018,0.249982,0.750018,7.00341,1438.81,22.1382,125120
158,6,CIYJUQ,Cl1 O4,-4 3 m,I 21 3,199,0.09162,0.40838,0.59162,1.43712,12.4325,22.1382,125120
159,7,CIYJUQ,Cl1 O4,-4 3 m,I 21 3,199,0.093824,0.093824,1.09382,1.42981,12.2437,22.1382,125120
160,0,AFUVAZ,C26 H29 N3 O3,1,I 2 3,197,0.434508,0.213738,0.142593,7.17915,1549.87,25.4211,10388
161,1,AHIWUM,C48 H55 O40,1,I 2 3,197,0.321672,0.18878,0.504031,8.39383,2477.17,41.7665,13976
162,2,BABFIU,Br3 C18 H48 P6 Se4 W3,3,I 2 3,197,0.748362,0.251638,0.251638,6.01962,913.656,21.0599,46936
163,3,FAZLUO,C6 H6,6/m m m,I 2 3,197,0.5,1.0,1.11978,2.34438,53.971,26.0844,251003
164,4,BABFIU,F6 P1,4/m m m,I 2 3,197,0.5,0.5,0.347143,1.6186,17.7622,21.0599,46936
165,5,BABFIU,F6 P1,4/m m m,I 2 3,197,0.5,0.0,0.0,1.61529,17.6535,21.0599,46936
166,6,FOGRUO,C12 H36 Mo1 N6,2 3,I 2 3,197,-0.5,-0.5,-0.5,3.81442,232.467,9.701,272233
167,7,GEQCOU,C36 H30 N1 P2,3 2,I 2 3,197,0.250177,0.250177,0.250177,6.25021,1022.73,21.836,302681
168,8,FAZLUO,C63 H90 N9 O6 Rh3,3,I 2 3,197,0.251838,0.748162,1.25184,8.57382,2639.97,26.0844,251003
169,9,FAZLUO,C6 H6,6/m m m,I 2 3,197,0.497514,0.892358,1.27548,2.32996,52.9811,26.0844,251003
170,10,GEXSAF,C18 F3 H12 P1 Se1,3,I 2 3,197,0.205027,0.205027,0.794973,5.56638,722.427,16.3328,305324
171,11,GEXSAF,Bi1 Br3,3 m,I 2 3,197,0.152112,0.152112,1.15211,2.2641,48.6144,16.3328,305324
172,12,GEXSEJ,C18 F3 H12 P1 Se1,3,I 2 3,197,0.794104,0.794104,0.794104,5.55507,718.033,16.1403,305327
173,13,GEXSEJ,Bi1 Cl3,3 m,I 2 3,197,0.848223,0.848223,1.15178,2.13886,40.985,16.1403,305327
174,14,GEQCOU,C32 F2 H16 N8 Re1,2 2 2,I 2 3,197,0.0,0.5,0.5,7.47868,1752.07,21.836,302681
175,15,HMGETP,C12 Ge6 P4,-4 3 m,I 2 3,197,0.0,0.0,0.0,4.07333,283.09,10.901,359125
176,16,AHIWUM,O40 P1 W12,-4 3 m,I 2 3,197,0.237288,0.255893,0.502098,5.24382,603.976,41.7665,13976
177,17,AHIWUM,Co1 O6,3 2,I 2 3,197,0.255024,0.255024,0.255024,2.11608,39.689,41.7665,13976
178,18,ICUCAK,Al3 C63 Cl6 H75 O9,3,I 2 3,197,0.19834,0.19834,0.19834,8.88716,2940.12,25.1228,382550
179,19,ICUCAK,C4 H8 O1,m m 2,I 2 3,197,0.222165,0.0186269,0.323858,2.08713,38.0825,25.1228,382550
